NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Alamat_lengkap
SPPG Way Kanan Negara Batin Gisting Jaya 2,"RT 005 RW 002 KAMPUNG GISTING JAYA KECAMATAN NEGARA BATIN KABUPATEN WAY KANAN, GISTING JAYA, NEGARA BATIN, KAB. WAY KANAN, LAMPUNG",19-08-2025,LAMPUNG,Wilayah I,Rizki Pratama Putra,,"Way Kanan Negara Batin Gisting Jaya 2 RT 005 RW 002 KAMPUNG GISTING JAYA KECAMATAN NEGARA BATIN KABUPATEN WAY KANAN, GISTING JAYA, NEGARA BATIN, KAB. WAY KANAN, LAMPUNG LAMPUNG"
SPPG Way Kanan Negara Batin Negara Batin,"RT 008 RW  004 KAMPUNG NEGARA BATIN KECAMATAN NEGARA BATIN KABUPATEN WAY KANAN, NEGARA BATIN, NEGARA BATIN, KAB. WAY KANAN, LAMPUNG",19-08-2025,LAMPUNG,Wilayah I,Almuhyi Sidiq,,"Way Kanan Negara Batin Negara Batin RT 008 RW  004 KAMPUNG NEGARA BATIN KECAMATAN NEGARA BATIN KABUPATEN WAY KANAN, NEGARA BATIN, NEGARA BATIN, KAB. WAY KANAN, LAMPUNG LAMPUNG"
SPPG Way Kanan Negeri Besar Kiling-kiling,"Jl. Haji Abdul Manan RT 005 RW 005, Kampung Kiling-Kiling, Kecamatan Negeri Besar, Kabupaten Way Kanan, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,M. Irham Utama,,"Way Kanan Negeri Besar Kiling-kiling Jl. Haji Abdul Manan RT 005 RW 005, Kampung Kiling-Kiling, Kecamatan Negeri Besar, Kabupaten Way Kanan, Provinsi Lampung LAMPUNG"
SPPG Way Kanan Pakuan Ratu Way Tawar,"Jalan Lintas Provinsi Way Tawar No.00 RT.002/RW.002, Kampung Way Tawar, Kecamatan Pakuan Ratu, Kabupaten Way Kanan, Provinsi Lampung",23-06-2025,LAMPUNG,Wilayah I,Setiawan,,"Way Kanan Pakuan Ratu Way Tawar Jalan Lintas Provinsi Way Tawar No.00 RT.002/RW.002, Kampung Way Tawar, Kecamatan Pakuan Ratu, Kabupaten Way Kanan, Provinsi Lampung LAMPUNG"
SPPG Way Kanan Way Tuba Bandar Sari,Jl. Bukit Gemuruh Kampung Bandar sari RT/RW 002/001 Kecamatan Way Tuba Kabupaten Way Kanan kode pos 34767,19-03-2025,LAMPUNG,Wilayah I,Maharatu Apriska ,,Way Kanan Way Tuba Bandar Sari Jl. Bukit Gemuruh Kampung Bandar sari RT/RW 002/001 Kecamatan Way Tuba Kabupaten Way Kanan kode pos 34767 LAMPUNG
SPPG Wonogiri Baturetno Glesungrejo,"Dusun Patuk Lor, RT 01 RW 02, Desa  Baturetno",17-02-2025,JAWA TENGAH,Wilayah II,Rian Patmala,Yayasan Merah Putih Putra Nusantara,"Wonogiri Baturetno Glesungrejo Dusun Patuk Lor, RT 01 RW 02, Desa  Baturetno JAWA TENGAH"
SPPG Wonogiri Baturetno Saradan,"Dusun Gedawung Rt.004 Rw.009 Desa Saradan Kecamatan Baturetno Kabupaten Wonogiri, Jawa Tengah",15-10-2025,JAWA TENGAH,Wilayah II,Rizqi Adhi Pertiwi,,"Wonogiri Baturetno Saradan Dusun Gedawung Rt.004 Rw.009 Desa Saradan Kecamatan Baturetno Kabupaten Wonogiri, Jawa Tengah JAWA TENGAH"
SPPG Wonogiri Tirtomoyo Banyakprodo,"Dusun Mujing, RT 003 RW 003 Desa Banyakprodo, Kecamatan Tirtomoyo, Kabupaten Wonogiri, Provinsi Jawa Tengah, Kode Pos 57672",19-05-2025,JAWA TENGAH,Wilayah II,Bagas Pramudya,Yayasan Mitra Mahmudi Berkah,"Wonogiri Tirtomoyo Banyakprodo Dusun Mujing, RT 003 RW 003 Desa Banyakprodo, Kecamatan Tirtomoyo, Kabupaten Wonogiri, Provinsi Jawa Tengah, Kode Pos 57672 JAWA TENGAH"
SPPG Wonosobo Sapuran Sedayu,Dusun Karanganyar Rt 05 Rw 03 Desa Sedayu Kecematan Sapuran Kabupaten Wonosobo Provinsi Jawa Tengah,23-06-2025,JAWA TENGAH,Wilayah II,Setiyadi Prasetyo,,Wonosobo Sapuran Sedayu Dusun Karanganyar Rt 05 Rw 03 Desa Sedayu Kecematan Sapuran Kabupaten Wonosobo Provinsi Jawa Tengah JAWA TENGAH
SPPG Wonosobo Selomerto Wulungsari,RT 6 RW 1 Dusun Kacepit Desa Wulungsari Kecamatan Selomerto Kabupaten Wonosobo Propinsi Jawa Tengah,11-08-2025,JAWA TENGAH,Wilayah II,Afan Julianto,,Wonosobo Selomerto Wulungsari RT 6 RW 1 Dusun Kacepit Desa Wulungsari Kecamatan Selomerto Kabupaten Wonosobo Propinsi Jawa Tengah JAWA TENGAH
SPPG Sleman Mlati Tirtoadi,"7855+R75, Jembangan, Tirtoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta",21-07-2025,DAERAH ISTIMEWA YOGYAKARTA,Wilayah II,Faris Duwi Parwanto ,Yayasan Ma`had Sunan Kalijaga,"Sleman Mlati Tirtoadi 7855+R75, Jembangan, Tirtoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta DAERAH ISTIMEWA YOGYAKARTA"
SPPG Kota Yogyakarta Kotagede Purbayan 1,Jl. Purbayan Kg2/1272 RT 057 RW 014 Purbayan Kotagede,21-07-2025,DAERAH ISTIMEWA YOGYAKARTA,Wilayah II,Rizki Rafiad Darodjati,Yayasan Amanah Berkah Lumintu,Kota Yogyakarta Kotagede Purbayan 1 Jl. Purbayan Kg2/1272 RT 057 RW 014 Purbayan Kotagede DAERAH ISTIMEWA YOGYAKARTA
SPPG Jaktim Cakung Pulo Gebang 2,Pulo Gebang Indah Blok J11 no. 1,04-08-2025,DKI JAKARTA,Wilayah II,Malinda Destri Yanti Suhartono ,,Jaktim Cakung Pulo Gebang 2 Pulo Gebang Indah Blok J11 no. 1 DKI JAKARTA
SPPG Gorontalo Tibawa Balahu,Jl. Abdul Azis Umar,05-08-2025,GORONTALO,Wilayah III,Satrio Eksan,,Gorontalo Tibawa Balahu Jl. Abdul Azis Umar GORONTALO
SPPG Gorontalo Telaga Biru Tuladenggi,Jl. Abdul Gandi Pajuhi,18-08-2025,GORONTALO,Wilayah III,Andi Azrial Oppier Lessy,,Gorontalo Telaga Biru Tuladenggi Jl. Abdul Gandi Pajuhi GORONTALO
SPPG Tasikmalaya Salopa Mandalahayu,Dusun Cilegi Rt 02 Rw 01,08-09-2025,JAWA BARAT,Wilayah II,Erli Dwi Rizki,,Tasikmalaya Salopa Mandalahayu Dusun Cilegi Rt 02 Rw 01 JAWA BARAT
SPPG Bandung Barat Cikalongwetan Mandalamukti,Kp. Rajamandala RT.02/RW.12,18-08-2025,JAWA BARAT,Wilayah II,Hafidz Muhamad Ramdhan,,Bandung Barat Cikalongwetan Mandalamukti Kp. Rajamandala RT.02/RW.12 JAWA BARAT
SPPG Purwakarta Cibatu Cirangkong,"Cirangkong, Kec. Cibatu, Kabupaten Purwakarta, Jawa Barat 41181",25-09-2025,JAWA BARAT,Wilayah II,Hanip Setiawan Hidayatuloh,,"Purwakarta Cibatu Cirangkong Cirangkong, Kec. Cibatu, Kabupaten Purwakarta, Jawa Barat 41181 JAWA BARAT"
SPPG Kubu Raya Sungai Ambawang Sungai Ambawang Kuala 2,Gang H. Galuh Rahmah ,15-08-2025,KALIMANTAN BARAT,Wilayah III,Novelianus Yogie,,Kubu Raya Sungai Ambawang Sungai Ambawang Kuala 2 Gang H. Galuh Rahmah  KALIMANTAN BARAT
SPPG Landak Mandor Mandor 2,Jalan Raya Mandor,30-07-2025,KALIMANTAN BARAT,Wilayah III,Alzabit Haris Fadhilah,Yayasan Darul Qur`an Wadda`wah Al-Mas`udiyah,Landak Mandor Mandor 2 Jalan Raya Mandor KALIMANTAN BARAT
SPPG Hulu Sungai Tengah Barabai Bukat,Jl. Cahaya Al Mashum,01-09-2025,KALIMANTAN SELATAN,Wilayah III,Muhammad Racha Taruna,,Hulu Sungai Tengah Barabai Bukat Jl. Cahaya Al Mashum KALIMANTAN SELATAN
SPPG Kota Palangka Raya Jekan Raya Bukit Tunggal 3,Jl. Rajawali VII Gg Jenaka No. 88,11-08-2025,KALIMANTAN TENGAH,Wilayah III,Lia Rati ,,Kota Palangka Raya Jekan Raya Bukit Tunggal 3 Jl. Rajawali VII Gg Jenaka No. 88 KALIMANTAN TENGAH
SPPG Bangka Barat Kelapa Kelapa,Jl. Binaria RT. 015 RW. 005 ,17-03-2025,KEPULAUAN BANGKA BELITUNG,Wilayah I,"Danu Aprilianto, S.Tr.Kes., M.K.M",Yayasan Prabu Center Kosong Delapan,Bangka Barat Kelapa Kelapa Jl. Binaria RT. 015 RW. 005  KEPULAUAN BANGKA BELITUNG
SPPG Karimun Kundur Tanjungbatu Kota,Jl. Parit baru RT. 005 RW. 001 ,05-05-2025,KEPULAUAN RIAU,Wilayah I,Muhammad Zulkarnain,Yayasan Darush Sholihin Batam,Karimun Kundur Tanjungbatu Kota Jl. Parit baru RT. 005 RW. 001  KEPULAUAN RIAU
SPPG Kota Batam Batu Ampar Sungai Jodoh,Batam Plaza Blok E No. 7-11,19-05-2025,KEPULAUAN RIAU,Wilayah I,Adjeng dyah mutia qodrosoh,,Kota Batam Batu Ampar Sungai Jodoh Batam Plaza Blok E No. 7-11 KEPULAUAN RIAU
SPPG Pringsewu Pringsewu Pringsewu Barat, Jl. Satria No 531 ,26-05-2025,LAMPUNG,Wilayah I,MAULIDZA DIANA ZULFA,Yayasan Prabu Center Kosong Delapan,Pringsewu Pringsewu Pringsewu Barat  Jl. Satria No 531  LAMPUNG
SPPG Kota Tual Pulau Dullah Selatan Ketsoblak,"jl, Baldu Wahadat, Mangon",23-08-2025,MALUKU,Wilayah III,Raisha Ady Mahaputra,,"Kota Tual Pulau Dullah Selatan Ketsoblak jl, Baldu Wahadat, Mangon MALUKU"
SPPG Bima Woha Kalampa,Jl. Lintas Risa Kalampa,05-05-2025,NUSA TENGGARA BARAT,Wilayah II,Ikhdar,Yayasan Mitra Lintas Sejahtera,Bima Woha Kalampa Jl. Lintas Risa Kalampa NUSA TENGGARA BARAT
SPPG Lombok Barat Gerung Dasan Tapen,Dusun Dasan Tapen Induk,28-09-2025,NUSA TENGGARA BARAT,Wilayah II,Muhamat Imam Romail,,Lombok Barat Gerung Dasan Tapen Dusun Dasan Tapen Induk NUSA TENGGARA BARAT
SPPG Fak Fak Pariwari Tanama,"Tanama, Pariwari",18-08-2025,PAPUA BARAT,Wilayah III,Nurlela Mekar Sari,,"Fak Fak Pariwari Tanama Tanama, Pariwari PAPUA BARAT"
SPPG Mimika Mimika Baru Kwamki,Jl. WR Supratman Petrosea,21-07-2025,PAPUA TENGAH,Wilayah III,Pemison Enumbi,Yayasan Mitra Lintas Sejahtera,Mimika Mimika Baru Kwamki Jl. WR Supratman Petrosea PAPUA TENGAH
SPPG Kota Pekanbaru Sukajadi Pulau Karomah,Jl. Teratai No. 3  ,05-05-2025,RIAU,Wilayah I,Helin Fauziah,Yayasan Putra Riau Membangun,Kota Pekanbaru Sukajadi Pulau Karomah Jl. Teratai No. 3   RIAU
SPPG  Rokan Hilir Rimba Melintang Langgadai Hulu,Jl. Poros Blok B,11-08-2025,RIAU,Wilayah I,Maysarah,,Rokan Hilir Rimba Melintang Langgadai Hulu Jl. Poros Blok B RIAU
SPPG Pasangkayu Baras Kasano,Jl. Poros Baras Palu,18-08-2025,SULAWESI BARAT,Wilayah III,Salmi,,Pasangkayu Baras Kasano Jl. Poros Baras Palu SULAWESI BARAT
SPPG Maros Lau Bonto Marannu,Jl. Poros Tambua,10-06-2025,SULAWESI SELATAN,Wilayah III,"Muhammad Adha Fadhillah,S.Pd",Yayasan Pesantren Mandiri Makassar,Maros Lau Bonto Marannu Jl. Poros Tambua SULAWESI SELATAN
SPPG Pinrang Duampanua Lampa,Jl. Padang Dongo,11-08-2025,SULAWESI SELATAN,Wilayah III,Awaluddin Syamsari ,,Pinrang Duampanua Lampa Jl. Padang Dongo SULAWESI SELATAN
SPPG Kota Makassar Tallo Pannampu 2,Jl. Lembo No. 77,25-08-2025,SULAWESI SELATAN,Wilayah III,Muhammad Fajar,,Kota Makassar Tallo Pannampu 2 Jl. Lembo No. 77 SULAWESI SELATAN
SPPG Sinjai Sinjai Timur Tongke-tongke,"BTN Lappa Mas 1, Blok E.49",27-09-2025,SULAWESI SELATAN,Wilayah III,Gustiawan,,"Sinjai Sinjai Timur Tongke-tongke BTN Lappa Mas 1, Blok E.49 SULAWESI SELATAN"
SPPG Kota Bau Bau Lea-Lea Lowu-Lowu,JL. Poros Lowu-Lowu,20-08-2025,SULAWESI TENGGARA,Wilayah III,Muh. Abil Saputra. S,,Kota Bau Bau Lea-Lea Lowu-Lowu JL. Poros Lowu-Lowu SULAWESI TENGGARA
SPPG Kota Palembang Ilir Timur Dua Sungaibuah 2,Jalan Dahri Sembayu Nomor 1601,23-08-2025,SUMATERA SELATAN,Wilayah I,Berilian Makky,,Kota Palembang Ilir Timur Dua Sungaibuah 2 Jalan Dahri Sembayu Nomor 1601 SUMATERA SELATAN
